Academic Year,No. of students graduating in minimum stipulated time,No. of students placed,Median salary of placed graduates per annum(Amount in Rs.),No. of students selected for Higher Studies,College,CollegeID,Batch
2021-22,181,55,"600000(Six lakh
rupees)",52,National Institute of Technology Srinagar,IR-E-U-0197,PG [2 Years Program(s)]
2020-21,5294,3342,"650000(Six Lakh Fifty
Thousand)",1024,Vellore Institute of Technology,IR-E-U-0490,UG [4 Years Program(s)]
2021-22,6177,4212,800000(Eight Lakh),957,Vellore Institute of Technology,IR-E-U-0490,UG [4 Years Program(s)]
2022-23,7053,4923,900000(Nine Lakh),1051,Vellore Institute of Technology,IR-E-U-0490,UG [4 Years Program(s)]
2020-21,1329,698,"545000(Five Lakh
Forty Five Thousand)",48,Vellore Institute of Technology,IR-E-U-0490,PG [2 Years Program(s)]
2021-22,1415,888,800000(Eight Lakh),40,Vellore Institute of Technology,IR-E-U-0490,PG [2 Years Program(s)]
2020-21,632,410,"450000(Four Lakh Fifty
Thousand)",31,Vellore Institute of Technology,IR-E-U-0490,PG-Integrated [5 Years Program(s)]
2021-22,683,585,700000(Seven Lakh),26,Vellore Institute of Technology,IR-E-U-0490,PG-Integrated [5 Years Program(s)]
2022-23,502,454,700000(Seven Lakh),6,Vellore Institute of Technology,IR-E-U-0490,PG-Integrated [5 Years Program(s)]
2020-21,648,499,"842000(Eight Lakh
Forty Two Thousand)",146,Visvesvaraya National Institute of Technology Nagpur,IR-E-U-0334,UG [4 Years Program(s)]
2021-22,672,669,1100000(Eleven Lakh),3,Visvesvaraya National Institute of Technology Nagpur,IR-E-U-0334,UG [4 Years Program(s)]
2022-23,832,730,"1192000(Eleven Lakhs
Ninrty Two Thousand )",99,Visvesvaraya National Institute of Technology Nagpur,IR-E-U-0334,UG [4 Years Program(s)]
2020-21,256,104,"789000(Seven Lakh
Eighty Nine Thousand)",97,Visvesvaraya National Institute of Technology Nagpur,IR-E-U-0334,PG [2 Years Program(s)]
2021-22,313,281,"750000(Seven Lakh
Fifty Thousand)",32,Visvesvaraya National Institute of Technology Nagpur,IR-E-U-0334,PG [2 Years Program(s)]
2022-23,315,238,"815000(Eight Lakhs
Fifteen Thousand
Only)",65,Visvesvaraya National Institute of Technology Nagpur,IR-E-U-0334,PG [2 Years Program(s)]
2020-21,630,429,"680000(Six Lakhs
Eighty Thousand Only)",183,National Institute of Technology Durgapur,IR-E-U-0577,UG [4 Years Program(s)]
2021-22,685,579,"810000(Eight Lakhs
Ten Thousand Only)",101,National Institute of Technology Durgapur,IR-E-U-0577,UG [4 Years Program(s)]
2022-23,776,640,"1370000(Thirteen
Lakhs Seventy
Thousand Only)",136,National Institute of Technology Durgapur,IR-E-U-0577,UG [4 Years Program(s)]
2020-21,0,0,0(Zero),0,National Institute of Technology Durgapur,IR-E-U-0577,UG [5 Years Program(s)]
2021-22,8,2,"690000(Six Lakhs
Ninety Thousand Only)",6,National Institute of Technology Durgapur,IR-E-U-0577,UG [5 Years Program(s)]
2022-23,8,3,"710000(Seven lakhs
Ten thousands only)",5,National Institute of Technology Durgapur,IR-E-U-0577,UG [5 Years Program(s)]
2020-21,224,48,"740000(Seven Lakhs
Forty Thousand Only)",169,National Institute of Technology Durgapur,IR-E-U-0577,PG [2 Years Program(s)]
2021-22,281,124,"900000(Nine Lakhs
Only)",155,National Institute of Technology Durgapur,IR-E-U-0577,PG [2 Years Program(s)]
2022-23,241,132,"935000(Nine lakhs
Thirty Five Thousand
only)",109,National Institute of Technology Durgapur,IR-E-U-0577,PG [2 Years Program(s)]
2020-21,235,151,"1400000(Fourteen
Lakh)",10,Indian Institute of Technology Indore,IR-E-U-0273,UG [4 Years Program(s)]
2021-22,247,209,"1850000(Eighteen
Lakh Fifty Thousand)",15,Indian Institute of Technology Indore,IR-E-U-0273,UG [4 Years Program(s)]
2022-23,281,238,"2120000(Twenty One
Lakh Twenty
Thousand)",12,Indian Institute of Technology Indore,IR-E-U-0273,UG [4 Years Program(s)]
2020-21,137,24,1000000(Ten Lakh),22,Indian Institute of Technology Indore,IR-E-U-0273,PG [2 Years Program(s)]
2021-22,164,53,1000000(Ten Lakh),29,Indian Institute of Technology Indore,IR-E-U-0273,PG [2 Years Program(s)]
2022-23,164,93,800000(Eight Lakh),35,Indian Institute of Technology Indore,IR-E-U-0273,PG [2 Years Program(s)]
2020-21,811,563,"1080000(RUPEES
TEN LAKHS AND
EIGHTY THOUSAND
ONLY)",163,National Institute of Technology Tiruchirappalli,IR-E-U-0467,UG [4 Years Program(s)]
2021-22,865,645,"1200000(RUPEES
TWELVE LAKHS
ONLY)",133,National Institute of Technology Tiruchirappalli,IR-E-U-0467,UG [4 Years Program(s)]
2022-23,1075,853,"1576000(RUPEES
FIFTEEN LAKHS AND
SEVENTY SIX
THOUSAND ONLY)",142,National Institute of Technology Tiruchirappalli,IR-E-U-0467,UG [4 Years Program(s)]
2020-21,443,335,"700000(RUPEES
SEVEN LAKHS ONLY)",27,National Institute of Technology Tiruchirappalli,IR-E-U-0467,PG [2 Years Program(s)]
2021-22,572,527,"950000(RUPEES
NINE LAKHS AND
FIFTY THOUSAND
ONLY)",13,National Institute of Technology Tiruchirappalli,IR-E-U-0467,PG [2 Years Program(s)]
2022-23,533,516,"1000000(RUPEES
TEN LAKHS ONLY)",4,National Institute of Technology Tiruchirappalli,IR-E-U-0467,PG [2 Years Program(s)]
2020-21,2891,1325,"660000(Six Lakh Sixty
Thousand)",620,Chandigarh University,IR-E-U-0747,UG [4 Years Program(s)]
2021-22,2987,1542,"750000(Seven Lakh
Fifty Thousand)",673,Chandigarh University,IR-E-U-0747,UG [4 Years Program(s)]
2022-23,2921,2311,800000(Eight Lakh),610,Chandigarh University,IR-E-U-0747,UG [4 Years Program(s)]
2020-21,0,0,0(Zero),0,Chandigarh University,IR-E-U-0747,UG [5 Years Program(s)]
2021-22,0,0,0(Zero),0,Chandigarh University,IR-E-U-0747,UG [5 Years Program(s)]
2020-21,146,97,600000(Six Lakh),49,Chandigarh University,IR-E-U-0747,PG [2 Years Program(s)]
2021-22,147,99,700000(Seven Lakh),48,Chandigarh University,IR-E-U-0747,PG [2 Years Program(s)]
2022-23,223,151,"720000(Seven Lakh
Twenty Thousand)",72,Chandigarh University,IR-E-U-0747,PG [2 Years Program(s)]
2020-21,215,163,"1790000(Seventeen
Lakh Ninety Thousand)",17,Indian Institute of Technology Patna,IR-E-U-0064,UG [4 Years Program(s)]
2021-22,243,208,"2200000(Twenty Two
Lakh)",35,Indian Institute of Technology Patna,IR-E-U-0064,UG [4 Years Program(s)]
2022-23,333,273,"1700000(Seventeen
lakh)",13,Indian Institute of Technology Patna,IR-E-U-0064,UG [4 Years Program(s)]
2020-21,89,42,"2100000(Twenty One
Lakh)",22,Indian Institute of Technology Patna,IR-E-U-0064,PG [2 Years Program(s)]
2021-22,109,96,"2050000(Twenty Lakh
Fifty Thousand)",13,Indian Institute of Technology Patna,IR-E-U-0064,PG [2 Years Program(s)]
2022-23,88,81,"2300000(Twenty three
lakh)",7,Indian Institute of Technology Patna,IR-E-U-0064,PG [2 Years Program(s)]
2017-18,248,158,"741000(Seven Lakh
Forty One Thousand )",11,Pandit Dwarka Prasad Mishra Indian Institute of Information Technology Design and Manufacturing IIITDM Jabalpur,IR-E-U-0286,UG [4 Years Program(s)]
2018-19,291,173,"750000(Seven Lakh
Fifty Thousand )",22,Pandit Dwarka Prasad Mishra Indian Institute of Information Technology Design and Manufacturing IIITDM Jabalpur,IR-E-U-0286,UG [4 Years Program(s)]
2019-20,262,146,"943000(Nine Lakh
Forty Three Thousand
)",78,Pandit Dwarka Prasad Mishra Indian Institute of Information Technology Design and Manufacturing IIITDM Jabalpur,IR-E-U-0286,UG [4 Years Program(s)]
2017-18,84,29,"725000(Seven Lakh
Twenty Five Thousand
)",8,Pandit Dwarka Prasad Mishra Indian Institute of Information Technology Design and Manufacturing IIITDM Jabalpur,IR-E-U-0286,PG [2 Years Program(s)]
2018-19,96,35,"710000(Seven Lakh
Ten Thousand )",20,Pandit Dwarka Prasad Mishra Indian Institute of Information Technology Design and Manufacturing IIITDM Jabalpur,IR-E-U-0286,PG [2 Years Program(s)]
2017-18,663,543,"837000(Eight lakhs
and thirty seven
thousand)",60,National Institute of Technology Warangal,IR-E-U-0025,UG [4 Years Program(s)]
2018-19,752,644,"901325(Nine lakhs one
thousand three
hundred and twenty
five)",65,National Institute of Technology Warangal,IR-E-U-0025,UG [4 Years Program(s)]
2019-20,720,572,900000(Nine lakhs),69,National Institute of Technology Warangal,IR-E-U-0025,UG [4 Years Program(s)]
2017-18,421,231,"744917(Seven lakhs
fourty four thousand
nine hundred and
seventeen)",47,National Institute of Technology Warangal,IR-E-U-0025,PG [2 Years Program(s)]
2018-19,381,206,"745372(Seven lakhs
fourty five thousand
three hundred and
seventy two)",54,National Institute of Technology Warangal,IR-E-U-0025,PG [2 Years Program(s)]
2019-20,416,143,"809000(Eight lakhs
and nine thousand)",46,National Institute of Technology Warangal,IR-E-U-0025,PG [2 Years Program(s)]
2017-18,475,391,"1275000(Twelve lakh
Seventy Five
Thousand)",44,Indian Institute of Technology Kharagpur,IR-E-U-0573,UG [4 Years Program(s)]
2018-19,535,437,"1420059(Fourteen
Lakh Twenty
Thousand Fifty Nine)",53,Indian Institute of Technology Kharagpur,IR-E-U-0573,UG [4 Years Program(s)]
2019-20,451,416,1600000(Sixteen Lakh),32,Indian Institute of Technology Kharagpur,IR-E-U-0573,UG [4 Years Program(s)]
2017-18,826,418,900000(Nine Lakh ),212,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG [2 Years Program(s)]
2018-19,880,372,"1674733(Sixteen Lakh
Seventy Four
Thousand Seven
Hundred Thirty Three)",159,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG [2 Years Program(s)]
2019-20,814,235,1200000(Twelve lakh),135,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG [2 Years Program(s)]
2017-18,10,7,800000(Eight Lakh),2,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG [3 Years Program(s)]
2018-19,9,7,"813000(Eight lakh
Thirteen Thousand)",2,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG [3 Years Program(s)]
2019-20,7,0,0(Zero),5,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG [3 Years Program(s)]
2017-18,577,521,"1118000(Eleven Lakh
Eighteen Thousand)",56,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG-Integrated [5 Years Program(s)]
2018-19,581,548,"1340000(Thirteen Lakh
Forty Thousand)",33,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG-Integrated [5 Years Program(s)]
2019-20,580,561,1500000(Fiffteen Lakh),19,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG-Integrated [5 Years Program(s)]
2017-18,0,0,0(Zero),0,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG [6 Years Program(s)]
2018-19,0,0,0(Zero),0,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG [6 Years Program(s)]
2019-20,0,0,0(Zero),0,Indian Institute of Technology Kharagpur,IR-E-U-0573,PG [6 Years Program(s)]
2017-18,573,513,600000(Six Lakh Only),58,National Institute of Technology Jamshedpur,IR-E-U-0207,UG [4 Years Program(s)]
2018-19,573,458,"650000(Six lakh fifty
thousand Only)",38,National Institute of Technology Jamshedpur,IR-E-U-0207,UG [4 Years Program(s)]
2019-20,555,472,"680000(Six lakh eighty
thousand Only)",44,National Institute of Technology Jamshedpur,IR-E-U-0207,UG [4 Years Program(s)]
2017-18,249,21,"450000(Four Lakh Fifty
Thousand Only )",11,National Institute of Technology Jamshedpur,IR-E-U-0207,PG [2 Years Program(s)]
2018-19,256,40,"500000(Five Lakh
Only)",42,National Institute of Technology Jamshedpur,IR-E-U-0207,PG [2 Years Program(s)]
2019-20,220,50,"800000(Eight Lakh
Only)",68,National Institute of Technology Jamshedpur,IR-E-U-0207,PG [2 Years Program(s)]
2017-18,771,598,"1320000(Thirteen
Lakhs Twenty
Thousand Only)",172,Indian Institute of Technology Roorkee,IR-E-U-0560,UG [4 Years Program(s)]
2018-19,825,726,"1450900(Fourteen
Lakhs Fifty Thousand
Nine Hundred Only)",99,Indian Institute of Technology Roorkee,IR-E-U-0560,UG [4 Years Program(s)]
2019-20,794,663,"1754000(Seventeen
Lakhs Fifty Four
Thousand Only)",131,Indian Institute of Technology Roorkee,IR-E-U-0560,UG [4 Years Program(s)]
2017-18,112,79,"1190000(Eleven Lakhs
Ninety Thousand Only)",33,Indian Institute of Technology Roorkee,IR-E-U-0560,PG-Integrated [5 Years Program(s)]
2018-19,90,69,"1500000(Fifteen Lakhs
Only)",21,Indian Institute of Technology Roorkee,IR-E-U-0560,PG-Integrated [5 Years Program(s)]
2019-20,83,79,"1957000(Nineteen
Lakhs Fifty Seven
Thousand Only)",4,Indian Institute of Technology Roorkee,IR-E-U-0560,PG-Integrated [5 Years Program(s)]
2017-18,356,221,400000(Four Lakhs),95,College of Engineering A ,IR-E-C-24004,UG [4 Years Program(s)]
2018-19,370,330,"450000(Four Lakhs
Fifty Thousand)",40,College of Engineering A ,IR-E-C-24004,UG [4 Years Program(s)]
2019-20,355,239,"350000(Three Lakhs
Fifty Thousand)",86,College of Engineering A ,IR-E-C-24004,UG [4 Years Program(s)]
2017-18,500,84,"655000(Six Lakhs Fifty
Five Thousand)",35,College of Engineering A ,IR-E-C-24004,PG [2 Years Program(s)]
2018-19,510,86,"655000(Six Lakhs Fifty
Five Thousand)",34,College of Engineering A ,IR-E-C-24004,PG [2 Years Program(s)]
2019-20,510,81,400000(Four Lakhs),22,College of Engineering A ,IR-E-C-24004,PG [2 Years Program(s)]
2017-18,547,521,"320000(Three Lakh
Twenty Thousand
Only)",26,Kalasalingam Academy of Research and Education,IR-E-U-0458,UG [4 Years Program(s)]
2018-19,1144,1040,"367000(Three Lakh
Sixty Seven Thousand
Only)",48,Kalasalingam Academy of Research and Education,IR-E-U-0458,UG [4 Years Program(s)]
2019-20,1332,1219,"401000(Four Lakh One
Thousand Only)",50,Kalasalingam Academy of Research and Education,IR-E-U-0458,UG [4 Years Program(s)]
2017-18,65,63,"360000(Three Lakh
Sixty Thousand Only)",1,Kalasalingam Academy of Research and Education,IR-E-U-0458,PG [2 Years Program(s)]
2018-19,40,36,"369000(Three Lakh
Sixty Nine Thousand
Only)",3,Kalasalingam Academy of Research and Education,IR-E-U-0458,PG [2 Years Program(s)]
2017-18,1234,812,"620000(Six Lakh
Twenty Thousand)",55,Thapar Institute of Engineering and Technology,IR-E-I-1480,UG [4 Years Program(s)]
2018-19,1270,1088,"630000(Six Lakh Thirty
Thousand)",180,Thapar Institute of Engineering and Technology,IR-E-I-1480,UG [4 Years Program(s)]
2019-20,1549,1053,"810000(Eight Lakh
Ten Thousand)",182,Thapar Institute of Engineering and Technology,IR-E-I-1480,UG [4 Years Program(s)]
2017-18,285,125,600000(Six Lakh),41,Thapar Institute of Engineering and Technology,IR-E-I-1480,PG [2 Years Program(s)]
2018-19,244,95,800000(Eight Lakh),130,Thapar Institute of Engineering and Technology,IR-E-I-1480,PG [2 Years Program(s)]
2019-20,161,58,800000(Eight Lakh ),75,Thapar Institute of Engineering and Technology,IR-E-I-1480,PG [2 Years Program(s)]
2017-18,496,361,"570000(five lakh
seventy thousand
rupees)",34,National Institute of Technology Silchar,IR-E-U-0055,UG [4 Years Program(s)]
2018-19,553,407,"640000(Six Lakh Forty
Thousand )",23,National Institute of Technology Silchar,IR-E-U-0055,UG [4 Years Program(s)]
2019-20,548,407,"660000(Six Lakh Sixty
Thousand )",13,National Institute of Technology Silchar,IR-E-U-0055,UG [4 Years Program(s)]
2017-18,167,9,"519000(Five lakhs
nineteen thousand)",73,National Institute of Technology Silchar,IR-E-U-0055,PG [2 Years Program(s)]
2018-19,185,25,"525000(Five lakhs
twenty five thousand)",75,National Institute of Technology Silchar,IR-E-U-0055,PG [2 Years Program(s)]
2017-18,161,90,"325000(Three Lakh
Twenty Five Thousand
Only)",22,Shri Mata Vaishno Devi University,IR-E-U-0201,UG [4 Years Program(s)]
2018-19,110,55,"350000(Three Lakh
Fifty Thousand Only)",22,Shri Mata Vaishno Devi University,IR-E-U-0201,UG [4 Years Program(s)]
2019-20,172,129,"350000(Three Lakh
Fifty Thousand Only)",28,Shri Mata Vaishno Devi University,IR-E-U-0201,UG [4 Years Program(s)]
2017-18,47,6,"478000(Four Lakh
Seventy Eight
Thousand Only)",15,Shri Mata Vaishno Devi University,IR-E-U-0201,PG [2 Years Program(s)]
2018-19,61,18,600000(Six Lakh Only),7,Shri Mata Vaishno Devi University,IR-E-U-0201,PG [2 Years Program(s)]
2017-18,977,638,"385000(Three Lakh
Eighty Five Thousand)",84,Jaypee Institute of Information Technology,IR-E-U-0522,UG [4 Years Program(s)]
2018-19,1074,858,400000(Four Lakh),112,Jaypee Institute of Information Technology,IR-E-U-0522,UG [4 Years Program(s)]
2019-20,1033,793,500000(Five Lakh ),125,Jaypee Institute of Information Technology,IR-E-U-0522,UG [4 Years Program(s)]
2017-18,55,10,"375000(Three Lakh
Seventy Five
Thousand)",24,Jaypee Institute of Information Technology,IR-E-U-0522,PG [2 Years Program(s)]
2018-19,47,5,"380000(Three Lakh
Eighty Thousand)",26,Jaypee Institute of Information Technology,IR-E-U-0522,PG [2 Years Program(s)]
2017-18,85,58,"450000(Four Lakh Fifty
Thousand)",25,Jaypee Institute of Information Technology,IR-E-U-0522,PG-Integrated [5 Years Program(s)]
2018-19,80,60,"475000(Four Lakh
Seventy Five
Thousand)",14,Jaypee Institute of Information Technology,IR-E-U-0522,PG-Integrated [5 Years Program(s)]
2019-20,65,46,500000(Five Lakh),12,Jaypee Institute of Information Technology,IR-E-U-0522,PG-Integrated [5 Years Program(s)]
2017-18,614,373,500000(Five lacs),48,Panjab University,IR-E-U-0078,UG [4 Years Program(s)]
2018-19,625,368,700000(Seven lacs),54,Panjab University,IR-E-U-0078,UG [4 Years Program(s)]
2019-20,650,297,"480000(Four lac eighty
thousand)",55,Panjab University,IR-E-U-0078,UG [4 Years Program(s)]
2017-18,26,16,"450000(Four lac fifty
thousand)",0,Panjab University,IR-E-U-0078,UG [5 Years Program(s)]
2018-19,13,13,"595000(Five lac ninty
five thousand)",0,Panjab University,IR-E-U-0078,UG [5 Years Program(s)]
2017-18,110,12,"325000(three lac
twenty five thousand)",27,Panjab University,IR-E-U-0078,PG [2 Years Program(s)]
2018-19,78,21,"274000(two lac
seventy four thousand)",25,Panjab University,IR-E-U-0078,PG [2 Years Program(s)]
2019-20,110,13,500000(five lac),28,Panjab University,IR-E-U-0078,PG [2 Years Program(s)]
2017-18,1851,972,300000(Three Lakhs),331,Amity University,IR-E-U-0497,UG [4 Years Program(s)]
2018-19,1840,985,"375000(Three Lakhs
seventy five Thousand)",252,Amity University,IR-E-U-0497,UG [4 Years Program(s)]
2019-20,1838,1038,"375000(Three Lakhs
seventy five Thousand)",271,Amity University,IR-E-U-0497,UG [4 Years Program(s)]
2017-18,155,111,300000(Three Lakhs ),19,Amity University,IR-E-U-0497,PG [2 Years Program(s)]
2018-19,153,124,"354000(Three lakhs
fifty four thousand)",21,Amity University,IR-E-U-0497,PG [2 Years Program(s)]
2017-18,111,57,300000(Three Lakh),20,Amity University,IR-E-U-0497,PG-Integrated [5 Years Program(s)]
2018-19,95,32,300000(Three Lakh),7,Amity University,IR-E-U-0497,PG-Integrated [5 Years Program(s)]
2019-20,98,57,"355000(Three Lakh
fifty five thousand)",6,Amity University,IR-E-U-0497,PG-Integrated [5 Years Program(s)]
2017-18,856,758,"720000(Seven lakh
twenty thousand)",92,National Institute of Technology Calicut,IR-E-U-0263,UG [4 Years Program(s)]
2018-19,832,760,"805000(Eight lakh five
thousand )",61,National Institute of Technology Calicut,IR-E-U-0263,UG [4 Years Program(s)]
2019-20,801,679,"898000(Eight lakh
ninety eight thousand
only)",58,National Institute of Technology Calicut,IR-E-U-0263,UG [4 Years Program(s)]
2017-18,393,308,"780000(Seven Lakhs
eighty thousand)",75,National Institute of Technology Calicut,IR-E-U-0263,PG [2 Years Program(s)]
2018-19,399,312,900000(Nine lakh only),80,National Institute of Technology Calicut,IR-E-U-0263,PG [2 Years Program(s)]
2019-20,348,282,"950000(Nine lakh fifty
thousand only)",57,National Institute of Technology Calicut,IR-E-U-0263,PG [2 Years Program(s)]
2017-18,739,503,"667000(Six lakhs sixty
seven thousands only)",87,Sardar Vallabhbhai National Institute of Technology,IR-E-U-0149,UG [4 Years Program(s)]
2018-19,727,516,"672000(Six lakhs
seventy two thousands
only)",76,Sardar Vallabhbhai National Institute of Technology,IR-E-U-0149,UG [4 Years Program(s)]
2019-20,720,483,"745000(Seven lakhs
forty five thousands
only)",132,Sardar Vallabhbhai National Institute of Technology,IR-E-U-0149,UG [4 Years Program(s)]
2017-18,277,109,"534000(Five lakhs
thirty four thousands
only)",37,Sardar Vallabhbhai National Institute of Technology,IR-E-U-0149,PG [2 Years Program(s)]
2018-19,257,106,"550000(Five lakhs fifty
thousands only)",32,Sardar Vallabhbhai National Institute of Technology,IR-E-U-0149,PG [2 Years Program(s)]
2017-18,812,656,"795000(seven lakhs
ninety five thousand)",32,Motilal Nehru National Institute of Technology,IR-E-U-0530,UG [4 Years Program(s)]
2018-19,832,671,800000(Eight Lakhs),107,Motilal Nehru National Institute of Technology,IR-E-U-0530,UG [4 Years Program(s)]
2019-20,861,568,"1159000(Eleven Lakhs
fifty nine thousand)",282,Motilal Nehru National Institute of Technology,IR-E-U-0530,UG [4 Years Program(s)]
2017-18,272,106,600000(Six lakhs),45,Motilal Nehru National Institute of Technology,IR-E-U-0530,PG [2 Years Program(s)]
2018-19,301,84,"675000(Six Lakhs
Seventy Five
Thousand)",98,Motilal Nehru National Institute of Technology,IR-E-U-0530,PG [2 Years Program(s)]
2019-20,303,101,900000(Nine Lakhs),185,Motilal Nehru National Institute of Technology,IR-E-U-0530,PG [2 Years Program(s)]
2017-18,753,524,"350000(Three Lac Fifty
Thousand)",36,Banasthali Vidyapith,IR-E-U-0389,UG [4 Years Program(s)]
2018-19,714,496,"460000(Four Lac Sixty
Thousand)",49,Banasthali Vidyapith,IR-E-U-0389,UG [4 Years Program(s)]
2019-20,719,619,"540000(Five Lac Forty
Thousand)",61,Banasthali Vidyapith,IR-E-U-0389,UG [4 Years Program(s)]
2017-18,108,13,"410000(Four Lac Ten
Thousand)",1,Banasthali Vidyapith,IR-E-U-0389,PG [2 Years Program(s)]
2018-19,53,11,"390000(Three Lac
Ninety Thousand)",5,Banasthali Vidyapith,IR-E-U-0389,PG [2 Years Program(s)]
2019-20,60,12,"430000(Four Lac
Thirty Thousand)",7,Banasthali Vidyapith,IR-E-U-0389,PG [2 Years Program(s)]
2017-18,2269,690,"380000(Three Lakh
Eighty Thousand )",384,Sathyabama Institute of Science and Technology,IR-E-U-0474,UG [4 Years Program(s)]
2018-19,2451,713,"330000(Three Lakh
Thirty Thousand )",308,Sathyabama Institute of Science and Technology,IR-E-U-0474,UG [4 Years Program(s)]
2019-20,2907,723,"380000(Three Lakh
Eighty Thousand )",322,Sathyabama Institute of Science and Technology,IR-E-U-0474,UG [4 Years Program(s)]
2017-18,75,56,"515000(Five Lakhs
and fifteen thousand)",8,Sathyabama Institute of Science and Technology,IR-E-U-0474,PG [2 Years Program(s)]
2018-19,64,57,400000(Four Lakhs),5,Sathyabama Institute of Science and Technology,IR-E-U-0474,PG [2 Years Program(s)]
2019-20,50,45,"450000(Four Lakhs
and Fifty Thousand)",4,Sathyabama Institute of Science and Technology,IR-E-U-0474,PG [2 Years Program(s)]
2017-18,4351,2874,"360000(Three Lakhs
Sixty Thousand)",1387,S R M Institute of Science and Technology,IR-E-U-0473,UG [4 Years Program(s)]
2018-19,4708,4167,"350000(Three Lakhs
Fifty Thousand)",464,S R M Institute of Science and Technology,IR-E-U-0473,UG [4 Years Program(s)]
2019-20,5020,4280,"360000(Three Lakhs
Sixty Thousand)",391,S R M Institute of Science and Technology,IR-E-U-0473,UG [4 Years Program(s)]
2017-18,416,55,400000(Four Lakhs),13,S R M Institute of Science and Technology,IR-E-U-0473,PG [2 Years Program(s)]
2018-19,298,45,"350000(Three Lakhs
Fifty Thousand)",10,S R M Institute of Science and Technology,IR-E-U-0473,PG [2 Years Program(s)]
2019-20,330,18,"360000(Three Lakhs
Sixty Thousand)",7,S R M Institute of Science and Technology,IR-E-U-0473,PG [2 Years Program(s)]
2017-18,1995,1731,1100000(Eleven Lakh ),206,Birla Institute of Technology Science Pilani,IR-E-U-0391,UG [4 Years Program(s)]
2018-19,2135,1866,"1250000(Twelve Lakh
Fifty Thousand )",247,Birla Institute of Technology Science Pilani,IR-E-U-0391,UG [4 Years Program(s)]
2019-20,2020,1788,"1400000(Fourteen
Lakh )",136,Birla Institute of Technology Science Pilani,IR-E-U-0391,UG [4 Years Program(s)]
2017-18,258,200,"1156062(Eleven Lakh
Fifty Six Thousand
Sixty Two)",11,Birla Institute of Technology Science Pilani,IR-E-U-0391,PG [2 Years Program(s)]
2018-19,435,349,"840000(Eight Lakh
Forty Thousand )",18,Birla Institute of Technology Science Pilani,IR-E-U-0391,PG [2 Years Program(s)]
2019-20,619,476,"1250000(Twelve Lakh
Fifty Thousand )",52,Birla Institute of Technology Science Pilani,IR-E-U-0391,PG [2 Years Program(s)]
2017-18,538,490,"598000(Five Lakhs
ninety eight thousand)",39,National Institute of Technology Rourkela,IR-E-U-0357,UG [4 Years Program(s)]
2018-19,511,452,"650000(Six Lakhs fifty
thousand)",48,National Institute of Technology Rourkela,IR-E-U-0357,UG [4 Years Program(s)]
2019-20,544,430,"711000(Seven lakhs
eleven thousand)",80,National Institute of Technology Rourkela,IR-E-U-0357,UG [4 Years Program(s)]
2017-18,552,263,500000(Five Lakhs),65,National Institute of Technology Rourkela,IR-E-U-0357,PG [2 Years Program(s)]
2018-19,465,354,500000(Five Lakhs),72,National Institute of Technology Rourkela,IR-E-U-0357,PG [2 Years Program(s)]
2019-20,595,227,600000(six lakhs),138,National Institute of Technology Rourkela,IR-E-U-0357,PG [2 Years Program(s)]
2017-18,188,133,"565000(Five lakh sixty
five thousand)",52,National Institute of Technology Rourkela,IR-E-U-0357,PG-Integrated [5 Years Program(s)]
2018-19,173,134,600000(Six lakhs),38,National Institute of Technology Rourkela,IR-E-U-0357,PG-Integrated [5 Years Program(s)]
2019-20,190,99,"750000(seven lakhs
fifty thousand)",35,National Institute of Technology Rourkela,IR-E-U-0357,PG-Integrated [5 Years Program(s)]
2017-18,499,395,"400000(Four Lakh
Only)",89,The Northcap University,IR-E-U-0163,UG [4 Years Program(s)]
2018-19,424,332,"360000(Three Lakh
Sixty Thousand Only)",50,The Northcap University,IR-E-U-0163,UG [4 Years Program(s)]
2019-20,577,392,"385000(Three Lakh
Eighty Five Thousand
Only)",105,The Northcap University,IR-E-U-0163,UG [4 Years Program(s)]
2017-18,26,22,"450000(Four Lakh Fifty
Thousand Only)",4,The Northcap University,IR-E-U-0163,PG [2 Years Program(s)]
2018-19,12,6,"425000(Four Lakh
Twenty Five Thousand
Only)",6,The Northcap University,IR-E-U-0163,PG [2 Years Program(s)]
2017-18,115,81,"540000(Five Lakhs
forty thousand)",4,National Institute of Technology Meghalaya,IR-E-U-0619,UG [4 Years Program(s)]
2018-19,115,104,500000(Five Lakhs),6,National Institute of Technology Meghalaya,IR-E-U-0619,UG [4 Years Program(s)]
2019-20,123,105,500000(Five Lakhs),6,National Institute of Technology Meghalaya,IR-E-U-0619,UG [4 Years Program(s)]
2017-18,56,5,"325000(Three Lakhs
Twenty Five
Thousand)",24,National Institute of Technology Meghalaya,IR-E-U-0619,PG [2 Years Program(s)]
