Academic Year,No. of students graduating in minimum stipulated time,No. of students placed,Median salary of placed graduates per annum(Amount in Rs.),No. of students selected for Higher Studies,College,CollegeID,Batch
2020-21,158,114,900000(Nine Lakh ),25,Indian Institute of Technology Gandhinagar,IR-E-U-0139,UG [4 Years Program(s)]
2021-22,173,100,"1417000(Fourteen
Lakh Seventeen
Thousand )",40,Indian Institute of Technology Gandhinagar,IR-E-U-0139,UG [4 Years Program(s)]
2022-23,188,123,1600000(Sixteen lakh),26,Indian Institute of Technology Gandhinagar,IR-E-U-0139,UG [4 Years Program(s)]
2020-21,0,0,0(Zero),0,Indian Institute of Technology Gandhinagar,IR-E-U-0139,UG [5 Years Program(s)]
2021-22,0,0,0(Zero),0,Indian Institute of Technology Gandhinagar,IR-E-U-0139,UG [5 Years Program(s)]
2020-21,130,79,"850000(Eight Lakh
Fifty Thousand )",38,Indian Institute of Technology Gandhinagar,IR-E-U-0139,PG [2 Years Program(s)]
2021-22,35,20,"1101000(Eleven Lakh
One Thousand )",12,Indian Institute of Technology Gandhinagar,IR-E-U-0139,PG [2 Years Program(s)]
2022-23,35,20,"1375000(Thirteen Lakh
Seventy Five
Thousand)",8,Indian Institute of Technology Gandhinagar,IR-E-U-0139,PG [2 Years Program(s)]
2020-21,615,428,"360000(Three Lakh
Sixty Thousand)",83,SR University,IR-E-C-19754,UG [4 Years Program(s)]
2021-22,616,472,400000(Four Lakh ),65,SR University,IR-E-C-19754,UG [4 Years Program(s)]
2022-23,622,414,"401988(Four Lakh One
Thousand Nine
Hundred And Eighty
Eight)",108,SR University,IR-E-C-19754,UG [4 Years Program(s)]
2020-21,82,48,"450000(Four Lakh Fifty
Thousand Only)",14,SR University,IR-E-C-19754,PG [2 Years Program(s)]
2021-22,108,72,"450000(Four Lakh Fifty
Thousand Only)",11,SR University,IR-E-C-19754,PG [2 Years Program(s)]
2020-21,200,190,"1700000(Seventeen
Lakh)",10,Defence Institute of Advanced Technology,IR-E-U-0297,PG [2 Years Program(s)]
2021-22,215,208,"1950000(Nineteen
Lakh Fifty Thousand)",7,Defence Institute of Advanced Technology,IR-E-U-0297,PG [2 Years Program(s)]
2022-23,295,265,2000000(Twenty Lakh),15,Defence Institute of Advanced Technology,IR-E-U-0297,PG [2 Years Program(s)]
2020-21,645,525,"600000(Six Lakhs
Only)",82,National Institute of Technology Agartala,IR-E-U-0493,UG [4 Years Program(s)]
2021-22,681,619,"700000(Seven Lakhs
Only)",58,National Institute of Technology Agartala,IR-E-U-0493,UG [4 Years Program(s)]
2022-23,761,723,"850000(Eight Lakhs
Fifty Thousand)",26,National Institute of Technology Agartala,IR-E-U-0493,UG [4 Years Program(s)]
2020-21,148,80,"600000(Six Lakhs
only)",32,National Institute of Technology Agartala,IR-E-U-0493,PG [2 Years Program(s)]
2021-22,161,106,"650000(Six Lakhs Fifty
Thousand Only)",22,National Institute of Technology Agartala,IR-E-U-0493,PG [2 Years Program(s)]
2020-21,1018,844,"550000(Five lakhs Fifty
Thousand)",77,Sri Sivasubramaniya Nadar College of Engineering,IR-E-C-16604,UG [4 Years Program(s)]
2021-22,1083,905,"760000(Seven lakhs
Sixty Thousand)",98,Sri Sivasubramaniya Nadar College of Engineering,IR-E-C-16604,UG [4 Years Program(s)]
2022-23,845,677,800000(Eight Lakhs),115,Sri Sivasubramaniya Nadar College of Engineering,IR-E-C-16604,UG [4 Years Program(s)]
2020-21,44,30,"460000(Four lakhs and
SixtyThousand)",11,Sri Sivasubramaniya Nadar College of Engineering,IR-E-C-16604,PG [2 Years Program(s)]
2021-22,44,36,600000(Six lakhs),7,Sri Sivasubramaniya Nadar College of Engineering,IR-E-C-16604,PG [2 Years Program(s)]
2022-23,44,40,600000(Six Lakhs),3,Sri Sivasubramaniya Nadar College of Engineering,IR-E-C-16604,PG [2 Years Program(s)]
2020-21,2644,1717,500000(Five lakhs),379,Koneru Lakshmaiah Education Foundation University K L College of Engineering ,IR-E-U-0020,UG [4 Years Program(s)]
2021-22,2648,1752,"660000(six lakhs sixty
thousand)",405,Koneru Lakshmaiah Education Foundation University K L College of Engineering ,IR-E-U-0020,UG [4 Years Program(s)]
2022-23,2891,1991,"805500(eight lakhs five
thousand five hundred)",798,Koneru Lakshmaiah Education Foundation University K L College of Engineering ,IR-E-U-0020,UG [4 Years Program(s)]
2020-21,392,153,"450000(four lakhs fifty
thousand)",63,Koneru Lakshmaiah Education Foundation University K L College of Engineering ,IR-E-U-0020,PG [2 Years Program(s)]
2021-22,241,88,"476000(four lakhs
seventy six thousand)",96,Koneru Lakshmaiah Education Foundation University K L College of Engineering ,IR-E-U-0020,PG [2 Years Program(s)]
2022-23,208,72,"820000(eight lakhs
twenty thousand)",90,Koneru Lakshmaiah Education Foundation University K L College of Engineering ,IR-E-U-0020,PG [2 Years Program(s)]
2020-21,1240,771,"500000(Five lakhs
only)",142,PSG College of Technology,IR-E-C-37013,UG [4 Years Program(s)]
2021-22,1244,926,"650008(Six lakhs fifty
thousand and eight
only)",114,PSG College of Technology,IR-E-C-37013,UG [4 Years Program(s)]
